vocabulary,ch_meaning,en_meaning,equation_1,equation_2,list,id
placid,adj.冷静的，淡定的,free from agitation,placid = calm + unperturbed,placid = tranquil + composed,list11,3205
inception,n.开端，开始,beginning,inception = start + origin,inception = commencement + beginning,list11,3206
falter,vi.蹒跚；vi.犹豫，踌躇,1. walk unsteadily; 2. unsteady in purpose or action,falter = weaken + slow down,falter = hesitate + stammer,list11,3207
monogamy,n.一夫一妻制,the state or custom of being married to only one person at a time,monogamy = single marriage + exclusivity,monogamy = one spouse + commitment,list11,3208
rambling,adj.杂乱无章的,"proceeding without a specific goal, purpose, or direction",rambling = meandering + sprawling,rambling = disjointed + incoherent,list11,3209
megalomania,n.自大狂,megalomania = power obsession + domination,megalomania = power obsession + domination,megalomania = authority lust + control,list11,3210
economic,adj.有利可图的,profitable,economic = efficient + cost-effective,economic = resource-saving + budget-friendly,list11,3211
fusty,adj.过时的；adj.腐臭的,1. old-fashioned; 2. stale odors,fusty = stale + musty,fusty = damp + moldy,list11,3212
scribble,v.潦草地书写，乱写,meaningless,scribble = write + carelessly,scribble = draw + hurriedly,list11,3213
itinerant,adj.巡游的，巡回的,traveling from place to place,itinerant = traveling + place to place,itinerant = nomadic + work-related travel,list11,3214
refuge,n.避难所,shelter or protection from danger or distress,refuge = safety + shelter,refuge = protection + haven,list11,3215
superlative,adj.最好的，最优秀的,surpassing all others,superlative = excellent + best,superlative = outstanding + supreme,list11,3216
activism,n.行动主义,a doctrine or practice that emphasizes direct vigorous actions,activism = advocacy + campaigning,activism = social action + protest,list11,3217
vaporize,vt.彻底消灭,destroy,vaporize = evaporate + turn to gas,vaporize = transform into vapor + gasify,list11,3218
waffle,vi.胡扯,talk foolishly,waffle = ramble + be indecisive,waffle = babble + avoid commitment,list11,3219
ebullient,adj.热情奔放的,zestfully,ebullient = enthusiastic + lively,ebullient = joyful + energetic,list11,3220
panacea,n.万能药，万灵药,a remedy for all ills,panacea = universal cure + remedy,panacea = cure-all + solution,list11,3221
novel,adj.新奇的,new,novel = new + original,novel = innovative + unconventional,list11,3222
symmetrical,adj.对称的,having corresponding points whose connecting lines are bisected by a given point or perpendicularly bisected by a given line or plane,symmetrical = balanced + even,symmetrical = mirror image + proportional,list11,3223
jealou,adj.嫉妒的,hostile toward a rival or one believed to enjoy an advantage,jealous = envious + resentful,jealous = covetous + grudging,list12,3224
acidic,adj.酸性的,having a very sour or sharp taste,acidic = corrosive + tangy,acidic = low ph + sour,list12,3225
cupidity,n.贪婪,a strong desire for money or possessions,cupidity = greed + avarice,cupidity = materialism + covetousness,list12,3226
factious,adj.宗派的，派系的,of or relating to faction,factious = divisive + discordant,factious = dissentious + disruptive,list12,3227
strait,n.困境,a situation of perplexity or distress,strait = hardship + difficulty,strait = predicament + adversity,list12,3228
recollect,v.回忆,to call something to mind,recollect = remember + recall,recollect = retrieve + reminisce,list12,3229
disinformation,n.虚假信息,false information that is given to people in order to make them believe something or to hide the truth,disinformation = false information + deception,disinformation = misinformation + intentional misleading,list12,3230
marked,adj.显著的,very noticeable,marked = noticeable + evident,marked = obvious + clear,list12,3231
resurface,v.重新露面,reappear,resurface = reappear + emerge,resurface = reemerge + appear again,list12,3232
pagan,n.异教徒,an irreligious or hedonistic person,pagan = non-christian + polytheist,pagan = heathen + nature worshipper,list12,3233
animadversion,n.批评,a critical and usually censorious remark,animadversion = criticism + censure,animadversion = disapproval + condemnation,list12,3234
bias,n.偏见；n.倾向,"a tendency to believe that some people, ideas, etc,. are better than others that usually results in treating some people unfairly",bias = prejudice + favoritism,bias = partiality + predilection,list12,3235
apogee,n.顶点，最高点,the farthest or highest point,apogee = peak + climax,apogee = pinnacle + zenith,list12,3236
impecunious,adj.贫穷的,no money,impecunious = penniless + poor,impecunious = destitute + insolvent,list12,3237
spectacular,adj.壮观的,causing wonder and admiration,spectacular = stunning + impressive,spectacular = magnificent + breathtaking,list12,3238
half-formulated,adj.半成品的,half-finished,half-formulated = partially developed + incomplete,half-formulated = unfinished + tentative,list12,3239
indolent,adj.懒惰的,averse to activity,indolent = lazy + idle,indolent = slothful + inactive,list12,3240
chimera,n.虚构的事物，幻觉,an illusion or fabrication,chimera = illusion + fantasy,chimera = pipe dream + mirage,list12,3241
goosebumps,n.鸡皮疙瘩,"small bumps on your skin that are caused by cold, fear, or a sudden feeling of excitement",goosebumps = skin bumps + cold reaction,goosebumps = erect hairs + emotional response,list12,3242
predetermine,v.预先确定,to determine beforehand,predetermine = prearrange + predecide,predetermine = set in advance + decide early,list12,3243
perfidious,adj.背信弃义的,not loyal and cannot be trusted,perfidious = treacherous + untrustworthy,perfidious = disloyal + deceptive,list12,3244
opaque,adj.晦涩的,obscure,opaque = nontransparent + murky,opaque = obscure + unclear,list12,3245
exiguous,adj.稀少的,excessive scanty,exiguous = meager + insufficient,exiguous = scanty + sparse,list12,3246
sobering,adj.严肃的,making you feel serious and thoughtful,sobering = serious + thought-provoking,sobering = grounding + reflective,list12,3247
acumen,n.不同寻常的洞察力和鉴别力,exceptional discernment and judgement,acumen = keen insight + sharpness,acumen = shrewdness + perceptiveness,list12,3248
paragon,n.优秀模范；vt.把…比作；显示相识,1. example; 2. compare,paragon = model + exemplar,paragon = ideal + quintessence,list12,3249
colloquial,adj.口头的,using conversational style,colloquial = informal + conversational,colloquial = everyday + common,list12,3250
hardliner,n.强硬分子,advocating or involving a rigidly uncompromising course of action,hardliner = staunch believer + unyielding,hardliner = strict adherent + inflexible,list12,3251
pertinacious,adj.顽固的，固执地坚持的,sticking to an opinion,pertinacious = tenacious + determined,pertinacious = persistent + resolute,list12,3252
proscribe,v.禁止，排斥,forbid,proscribe = forbid + ban,proscribe = prohibit + outlaw,list12,3253
tackle,vt.着手处理,start work,tackle = address + confront,tackle = handle + take on,list12,3254
assemble,v.集合；v.组装,1. to bring together; 2. to fit together the parts of,assemble = gather + congregate,assemble = build + construct,list12,3255
displace,v.取代；v.迫使离开,1. to take the job or position of; 2. to force to leave the area where they live,displace = replace + supplant,displace = relocate + expel,list12,3256
verifiable,adj.可证实的,possible to verify,verifiable = checkable + true,verifiable = confirmable + accurate,list13,3257
interchangeable,adj.可交换的,capable of being used in place of each other,interchangeable = substitutable + equivalent,interchangeable = substitutable + equivalent,list12,3258
maverick,n.特立独行之人；adj.标新立异的，不合常规的,1. dose not conform; 2. deviating,maverick = nonconformist + independent thinker,maverick = rebel + free spirit,list12,3259
indispensable,adj.必不可少的，不可或缺的,impossible to do without,indispensable = essential + necessary,indispensable = vital + required,list12,3260
forebode,v.预示，预兆,show signs,forebode = predict + portend,forebode = foreshadow + presage,list12,3261
reflective,adj.沉思的,thinking carefully about something,reflective = mirroring + shiny,reflective = thoughtful + contemplative,list12,3262
rehash,v.重复，老调重弹,present again,rehash = reuse + recycle,rehash = repeat + revamp,list12,3263
signal,adj.(在重要性、成就方面)非同寻常；v.给出信号,1. standing above; 2. direct or notify;,signal = communicate + indicate,signal = notification + indicator,list12,3264
clot,n.密集的一群；v.凝结,1. a number of things considered as a unit; 2. turn from liquid into jelly,clot = coagulation + mass,clot = lump + blockage,list12,3265
indiscernible,adj.难以理解的,"impossible to see, hear, or know clearly",indiscernible = unnoticeable + invisible,indiscernible = imperceptible + faint,list12,3266
replete,adj.充满……的，富于……的,prossessing with great numbers of something,replete = full + abundant,replete = well-stocked + overflowing,list12,3267
misrepresent,vi.误传，篡改,give misleading representation,misrepresent = falsify + distort,misrepresent = misstate + twist,list12,3268
decisive,adj.果断的；adj.毋庸置疑的,"1. resolute, determined; 2. unmistakable, unquestionable",decisive = conclusive + determinative,decisive = firm + assertive,list12,3269
given,adj.特定的，固定的,"specified, fixed",given = designated + defined,given = assumed + accepted,list12,3270
backbone,n.支柱，支撑,the main support or major sustaining factor,backbone = foundation + pillar,backbone = spine + vertebral column,list12,3271
slump,n./v/暴跌，急剧下降,decline suddenly,slump = decline + drop,slump = plummet + fall,list12,3272
elemental,adj.基本的,"of, relating to, or being the basic or essential constituent of something",elemental = fundamental + basic,elemental = essential + core,list12,3273
aboriginal,adj.土著的，原始的,being the first or earliest known of its kind present in a region,aboriginal = indigenous + native,aboriginal = first inhabitants + original settlers,list12,3274
evacuate,vt.撤离,empty or remove,evacuate = clear out + relocate,evacuate = move out + rescue,list12,3275
hasten,vt.促进,speed up; accelerate,hasten = hurry + rush\,hasten = accelerate + quicken,list12,3276
contain,v.限制,to hold or keep with limits,contain = hold + enclose,contain = include + encapsulate,list12,3277
hospitable,adj.（气候等）适宜的；adj.热情友好的,1. offering a pleasant or sustaining environment; 2. promising or suggesting generous and friendly welcome,hospitable = welcoming + friendly,hospitable = gracious + accommodating,list12,3278
domesticate,v.引进；v.驯养,1. to bring into use in one's own country; 2. to adapt (an animal or plant) over time from a wild or natural state especially by selective breeding to life in close association with and to the benefit of humans ,domesticate = tame + train,domesticate = integrate + assimilate,list12,3279
ascendant,adj.有影响力的，主宰的,dominant influence,ascendant = dominant + rising,ascendant = superior + prevailing,list12,3280
spew,v.喷出，涌出,to ooze out as if under pressure,spew = eject + expel,spew = pour + stream,list12,3281
synonymous,adj.同义的,"same, similar meaning",synonymous = equivalent + identical in meaning,synonymous = interchangeable + similar,list12,3282
obsequious,adj.谄媚的，奴性的,fawning attentiveness,obsequious = fawning + submissive,obsequious = sycophantic + groveling,list12,3283
tinker,v.乱修，乱调整,thoughtlessly,tinker = fiddle + adjust,tinker = meddle + experiment,list12,3284
peremptory,adj.不容反抗的；adj.傲慢的,1. not allowing controdiction; 2. having a feeling of superiority,peremptory = authoritative + commanding,peremptory = imperious + dictatorial,list12,3285
boor,n.粗鲁的人,a rude or insensitive person,boor = rude person + lout,boor = oaf + barbarian,list12,3286
beset,vt.使苦恼，骚扰；vt.攻击，袭击,1. cause persistent suffering; 2. set upon,beset = plague + harass,beset = torment + persecute,list12,3287
remuneration,n.报酬，酬劳,"recompense, pay",remuneration = payment + compensation,remuneration = salary + wages,list12,3288
whereabouts,n.所在之处,the place or general locality where a person or thing is,whereabouts = location + position,whereabouts = place + locale,list12,3289
assuming,adj.傲慢的,"pretentious, presumptuous",assuming = presuming + supposing,assuming = arrogant + presumptuous,list12,3290
tenable,adj.有据可依的，无懈可击的,capable of being defended; reasonable,tenable = defensible + justifiable,tenable = sustainable + supportable,list12,3291
pathogen,n.病原体，病菌,a specific causative agent (such as a bacterium or virus) of disease,pathogen = disease agent + germ,pathogen = disease carrier + infection source,list12,3292
demoralize,vt.使士气低落vt.贬低，使堕落,1. dishearten; 2. lower in character,demoralize = dishearten + discourage,demoralize = weaken resolve + undermine confidence,list12,3293
chronicle,n.编年史；v.记录,1. a historial account of events arranged in order of time usually without analysis or interpretation; 2. to present a record of,chronicle = history + order,chronicle = record + detail,list13,3294
insinuate,v.暗示,"to introduce (something, such as an idea) gradually or in a subtle, indirect, or covert way",insinuate = suggest + indirectly,insinuate = imply + subtly,list13,3295
glossy,adj.平滑的，有光泽的,smooth surface,glossy = shiny + smooth,glossy = reflective + polished,list13,3296
insatiable,adj.不满足的,always wanting more,insatiable = unquenchable + desire,insatiable = endless + appetite,list13,3297
akin,adj.相似的，相关的,"essentially similar, related, or compatible",akin = similar + character,akin = related + nature,list13,3298
amicable,adj.友善的,friendly,amicable = friendly + harmonious,amicable = agreeable + peaceful,list13,3299
prioritize,v.优先考虑,"to list or rate (projects, goals, etc.) in order of priority",prioritize = order + importance,prioritize = rank + urgency,list13,3300
stickler,n.坚持细节的人，一丝不苟的人,insist on exactness,stickler = insist + perfection,stickler = demanding + detail,list13,3301
sensuous,adj.感官的，愉悦感官的,producing or characterized by gratification of the senses,sensuous = pleasing + senses,sensuous = sensory + enjoyment,list13,3302
presumptuous,adj.傲慢的,having a feeling of superiority,presumptuous = overconfident + disrespectful,presumptuous = bold + inappropriate,list13,3303
schism,n.不一致,lack of agreement,schism = division + conflict,schism = split + differing beliefs,list13,3304
humor,vt.迎合，迁就,comply with,humor = amusement + wit,humor = comedy + cleverness,list13,3305
hectic,adj.忙碌的,very busy or full of activity,hectic = frenzied + busy,hectic = chaotic + overwhelming,list13,3306
corollary,n.推论，结果,something that naturally follows or results from another thing,corollary = consequence + proven statement,corollary = result + theorem,list13,3307
cacophony,n.刺耳的声音,inharmonious sound,cacophony = harsh + sounds,cacophony = discordant + noise,list13,3308
disparate,adj.迥然不同的,"distinct, different, dissimiliar",disparate = different + incomparable,disparate = unalike + separate,list13,3309
impressive,adj.令人敬畏的，值得尊敬的,"deserving attention, admiration, or respect",impressive = admiration + quality,impressive = awe + skill,list13,3310
inaccessible,adj.难以到达的，难以理解的,"difficult or impossible to reach, approach, or understand",inaccessible = unreachable + remote,inaccessible = unobtainable + difficult access,list13,3311
contour,n.轮廓,the outline or outer edge of something,contour = outline + shape,contour = form + boundary,list13,3312
hard-nosed,adj.顽强的，不屈不挠的,"being tough, stubborn, or uncompromising",hard-nosed = practical + determined,hard-nosed = tough + realistic,list13,3314
confine,v.限制,keep within limits,confine = restrict + limits,confine = enclose + boundaries,list13,3315
muddle,v.使…混乱；n.混乱,1. to cause confusion in; 2. a state of confusion or disorder,muddle = confuse + disorder,muddle = mix up + chaos,list13,3316
conceivable,adj.可想象的,imaginable or possible,conceivable = imaginable + possible,conceivable = thinkable + understandable,list13,3317
dilettante,n./adj.业余爱好者(对艺术或知识领域涉猎浅薄者)/缺乏专业技术的,"superficial interest, lacking expert skill",dilettante = amateur + superficial interest,dilettante = dabbler + uncommitted,list13,3318
self-aggrandizing,adj.自我扩张的（仅用于抽象事物）,"acting or intended to enhance one's power, wealth, position or reputation",self-aggrandizing = boastful + self-promotion,self-aggrandizing = exaggerate achievements + ego,list13,3319
feasible,adj.可行的,capable of being used or dealt with successfully,feasible = possible + practical,feasible = achievable + realistic,list13,3320
cataclysm,n.灾难,"something that causes great destruction, violence, etc.",cataclysm = disaster + large-scale,cataclysm = catastrophe + violent event,list13,3321
visible,adj.看得见的；adj.明显的,1. capable of being discovered or perceived; 2. conspicuous,visible = seen + perceptible,visible = observable + noticeable,list13,3322
incipient,adj.起初的，初现的,beginning to come into being,incipient = beginning + developing,incipient = initial + emerging,list13,3323
snapshot,n.快照，简要描述,an impression or view of something brief or transitory,snapshot = quick photo + casual,snapshot = instant image + informal,list13,3324
lavish,adj.奢侈的，大量的，无节制的；vt.挥霍，浪费,1. extravagance and profusion; 2. give readily,lavish = luxurious + extravagant,lavish = rich + elaborate,list13,3325
enormous,adj.巨大的,very great in size or amount,enormous = huge + size,enormous = massive + extent,list13,3326
introspect,n.反省，内省,a reflective looking inward,introspect = self-examine + thoughts,introspect = reflect + feelings,list13,3327
disproportionate,adj.不成比例的,being out of proportion,disproportionate = imbalanced + size,disproportionate = unequal + ratio,list13,3328
hyperbole,n.夸张,exaggeration used for emphasis,hyperbole = exaggeration + statements,hyperbole = overstatement + not literal,list13,3329
exhilarate,vt.使高兴；使兴奋,make cheerful,exhilarate = energize + elate,exhilarate = thrill + delight,list13,3330
plead,v.恳求，祈求,to entreat or appeal earnestly,plead = beg + appeal,plead = implore + request,list13,3331
eviscerate,v.去除精华,to deprive of vital content or force,eviscerate = deprive + essential content,eviscerate = strip + core elements,list13,3332
catchy,adj.引人注意的；adj.使人上当的,1. tending to catch the interest or attention; 2. tricky,catchy = memorable + appealing,catchy = attention-grabbing + repetitive,list13,3333
erode,v.腐蚀,to diminish or destroy by degrees,erode = wear away + natural forces,erode = deteriorate + elements,list13,3334
sway,v.摇摆；v.影响,"1. to fluctuate or veer between one point, position, or opinion and another; 2. to exert a building or controlling influence on",sway = move + rhythmically,sway = influence + persuade,list13,3335
temptation,n.引诱，诱惑,a cause of occasion of enticement,temptation = desire + wrong action,temptation = urge + misbehavior,list13,3336
congruent,adj.和谐一致的；adj.全等的,1. being in harmony; 2. coinciding,congruent = agreeing + harmonious,congruent = consistent + compatible,list13,3337
fierce,adj.凶猛的，猛烈的,violently hostile or aggressive in temperament,fierce = aggressive + intense,fierce = ferocious + hostile,list13,3338
slur,n.耻辱；vt.疏忽，忽略,"1. mark of guilt; 2. without due,considerat",slur = insult + reputation damage,slur = defame + offend,list13,3339
tease,v.取笑，戏弄,to make fun of ,tease = mock + playfully,tease = provoke + jokingly,list13,3340
halfhearted,adj.不感兴趣的，不热情的,lacking heart,halfhearted = unenthusiastic + indifferent,halfhearted = lukewarm + disinterested,list13,3341
heterogeneous,adj.各种各样的,made up of parts that are different,heterogeneous = diverse + varied,heterogeneous = mixed + different elements,list13,3342
oppressive,adj.残酷的；adj.令人窒息的,1. very cruel or unfair; 2. overwhelming or depressing to the spirit or senses,oppressive = depressing + heavy,oppressive = tyrannical + restrictive,list13,3343
relic,n.遗迹,"something that is from a past time, place, culture, etc",relic = artifact + historical,relic = memento + ancient,list13,3344
droll,adj.滑稽的,having an odd and amusing quality,droll = amusing + quirky,droll = funny + odd,list13,3345
unfathomable,adj.不可理解的,impossible to understand,unfathomable = incomprehensible + mysterious,unfathomable = unknowable + complex,list13,3346
crab,v.抱怨,to complain about peevishly,crab = marine crustacean + pincers,crab = complain + peevishly,list13,3347
circuitous,adj.迂回的，不直接的,not being forthright,circuitous = indirect + winding,circuitous = roundabout + lengthy,list13,3348
endanger,v.使遭到危险,to bring into danger or peril,endanger = risk + harm,endanger = threaten + safety,list13,3349
cagey,adj.不乐意说话的,not willing to say,cagey = guarded + cautious,cagey = suspicious + secretive,list13,3350
thrust,n.主旨；v.猛推，挤,1. salient or essential element or meaning; 2. to cause to enter or pierce something by or as if by pushing,thrust = push + forcefully,thrust = propel + sudden movement,list13,3351
empower,v.授权,to give official authority or legal power to,empower = authorize + enable,empower = grant power + support,list13,3352
listless,adj.倦怠的，无精打采的,"charadcterized by lack of interest, energy, or spirit",listless = lacking energy + unenthusiastic,listless = apathetic + lethargic,list14,3354
retroactive,adj.有追溯效力的,extending in effect to a prior time,retroactive = backdated + effective,retroactive = past + implemented now,list13,3355
liable,adj.有…倾向的,being in a position to incur,liable = likely + prone,liable = susceptible + inclined,list13,3356
monstrous,adj.巨大的；adj.可怕的,1. extremely or unusually large; 2. extraordinarily ugly or vicious,monstrous = frightening + ugly,monstrous = enormous + intimidating,list13,3357
rapprochement,n.和睦，友好,cordial relations,rapprochement = reconciliation + harmony,rapprochement = renewal + friendly relations,list13,3358
nebulous,adj.模糊的,indistinct,nebulous = vague + unclear,nebulous = indistinct + hazy,list13,3359
preoccupy,v.使全神贯注,to be thought about or worried about by (someone) very often or constantly,preoccupy = dominate + mind,preoccupy = engross + exclude other thoughts,list13,3360
plunder,v.抢夺,to take the goods of by force (as in war),plunder = loot + disorder,plunder = steal + force,list14,3361
sap,vt.削弱；n.健康，活力,"1. weaken energy,vitality; 2. active strength;",sap = weaken + gradually,sap = drain + strength,list14,3362
consumption,n.消耗；n.消费,"1. the use of something; 2. the utilization of economic goods in the satisfaction of wants or in the process of production resulting chiefly in their destruction, deterioration, of transformation",consumption = usage + resources,consumption = expenditure + materials,list14,3363
bountiful,adj.丰富的,given or provided abundantly,bountiful = abundant + plentiful,bountiful = generous + ample,list14,3364
fractious,adj.难以管束的,unruly,fractious = irritable + quarrelsome,fractious = grumpy + argumentative,list14,3365
crass,adj.粗俗的，愚钝的,crude and unrefined,crass = insensitive + unrefined,crass = vulgar + tactless,list14,3366
standstill,n.静止,a state in which all activity or motion is stopped,standstill = no movement + halt,standstill = inactivity + stop,list14,3367
beget,v.导致，产生,to produce especially as an effect or outgrowth',beget = cause + bring about,beget = generate + result in,list14,3368
epidemic,adj.流行的,characterized by very widespread growth or extend,epidemic = widespread disease + community,epidemic = infectious outbreak + specific time,list14,3369
intelligible,adj.可理解的,being understood,intelligible = understandable + clear,intelligible = comprehensible + coherent,list14,3370
palliate,vt.平息，减轻,"less severe,intense",palliate = alleviate symptoms + not cure,palliate = relieve + without eliminating cause,list14,3371
vicissitude,n.自然变化，变迁兴衰,natural change,vicissitude = change + unwelcome fortune,vicissitude = fluctuation + adversity,list14,3372
impunity,n.免责，免受处罚,free from punishment,impunity = exemption + punishment,impunity = immunity + consequences,list14,3373
haughty,adj.傲慢的，自大的,blatantly and disdainfully proud,haughty = arrogant + superior,haughty = disdainful + conceited,list14,3374
germinate,vi.发芽；vi.出现,1. begin to grow; 2. come into being,germinate = begin to grow + develop,germinate = sprout + initiate growth,list14,3375
unruffled,adj.平静的，镇定的,poised and serene especially in the face of setbacks or confusion,unruffled = calm + composed,unruffled = undisturbed + serene,list14,3376
cordial,adj.热情的，友好的；adj.令人振奋的，令人焕然一新的,1. showing a natural kindness; 2. having a renewing effect,cordial = warm + friendly,cordial = affectionate + approachable,list14,3377
promise,n.成功前景；v.承诺，保证,1. an indication of future success or improvement; 2. make a promise or commitment,promise = assurance + commitment,promise = declaration + guarantee,list14,3378
contract,n.契约，合同；v.收缩；v.感染疾病,1. a binding agreement; 2. reduce in size; 3. become affected by a disease,contract = become infected + disease,contract = decrease + shrink,list14,3379
contented,adj.满足的,happy and satisfied,contented = satisfied + happy,contented = peaceful + fulfilled,list14,3380
well-defined,adj.明确的,easy to see or understand,well-defined = clear + precise,well-defined = sharp + unambiguous,list14,3381
genealogy,n.家谱，宗谱,"an account of the descent of a person, family, or group from an ancestor or from older forms",genealogy = lineage + ancestry,genealogy = family history + descent,list14,3382
inoculate,v.灌输,to introduce something into the mind of ,inoculate = instill + idea,inoculate = introduce + influence,list14,3383
exempt,vt.使免除,release from liability,exempt = free + obligation,exempt = excused + liability,list14,3384
egregious,adj.臭名昭著的,very bad and easily noticed,egregious = extremely bad + shocking,egregious = outrageous + appalling,list14,3385
salacious,adj.淫秽的，猥亵的,arousing or appealing to sexual desire or imagination,salacious = lurid + indecent,salacious = sensational + lewd,list14,3386
fabulous,adj.幻想中的，不真实的；adj.极好的,1. in the imagination; 2. extremely pleasing,fabulous = extraordinary + large,fabulous = amazing + huge,list14,3387
divergent,adj.不同的,differing from each other or from a standard,divergent = different + directions,divergent = varying + separating,list14,3388
prudent,adj.明智的；adj.小心谨慎的，审慎的,1. wise; 2. circumspection,prudent = cautious + wise,prudent = sensible + careful,list14,3389
protagonist,n.主角,"the leading actor or principal character in a television show, movie, book, etc",protagonist = main character + story,protagonist = hero + plot,list14,3390
choreograph,v.精心安排的,"to arrange or direct the movements, progress, or detail of",choreograph = direct + coordination,choreograph = plan + performance steps,list14,3391
penalty,n.处罚；n.不利结果,1. punishment for breaking a rule or law; 2. a disadvantage or difficulty you experience,penalty = punishment + lawbreaking,penalty = consequence + disadvantage,list14,3392
spoil,v.糟蹋，破坏,to damage seriously,spoil = ruin + value,spoil = damage + quality,list14,3393
inhale,v.吸入,to draw in by breathing,inhale = breathe in + air,inhale = draw in + breath,list14,3394
emancipate,vt.解放，解除束缚,free,emancipate = set free + restrictions,emancipate = liberate + oppression,list14,3395
fervid,adj.酷热的；adj.热情的,1. high temperature; 2. great passion,fervid = intensely enthusiastic + passionate,fervid = ardent + zealous,list14,3396
temper,v.缓和,to make less severe or extreme,temper = moderate + soften,temper = alleviate + mitigate,list14,3397
cheerless,adj.阴郁的,not causing happiness or warm feelings,cheerless = gloomy + depressing,cheerless = unhappy + dull,list14,3398
charity,n.慈善，善行,"the act of giving money, food, or other kinks of help to people who are poor, sick, etc",charity = voluntary giving + help,charity = donation + support,list14,3399
infectious,adj.传染性的；adj.有感染力的,1. capable of causing infection; 2. spreading or capable of spreading rapidly to others,infectious = contagious + transmittable,infectious = spreadable + disease-causing,list14,3400
immense,adj.巨大的,very great in size or amount,immense = extremely large + great,immense = vast + enormous,list14,3401
towering,adj.高大的，卓越的,impressively high or great,towering = extremely tall + dominant,towering = high + imposing,list14,3402
deviate,v.越轨，偏离,"to stray especially from a standard, principle, or topic",deviate = depart + norm,deviate = diverge + established path,list14,3403
grandiose,adj.自命不凡的，浮夸的,grandeur,grandiose = impressive + magnificent,grandiose = pretentious + overly ambitious,list14,3404
feigned,adj.假的,not genuine or real,feigned = pretended + insincere,feigned = simulated + false,list14,3405
earthly,adj.尘世间的，人间的 ,relating to the human race's actual life on this earth,earthly = physical + worldly,earthly = mundane + temporal,list14,3406
metaphor,adj.暗喻,used to refer to another thing similar,metaphor = figurative language + implied comparison,metaphor = symbolic + representational,list14,3407
obeisance,n.敬礼，尊重,"respect,submission",obeisance = deferential respect + gesture,obeisance = reverence + physical expression,list14,3408
pushover,n.容易做的工作,something that is easy to do,pushover = easily influenced + compliant,pushover = weak-willed + submissive,list14,3409
abdicate,v.正式放弃(权力、责任),renounce a throne,abdicate = renounce + throne,abdicate = give up + authority,list14,3410
obstrude,v.强加，强迫,to force or impose without warrant or request,obtrude = intrude + unwelcome,obtrude = force in + unpleasantly noticeable,list14,3411
unblemished,adj.崭新的，清白的,not being harmed or spoiled,unblemished = perfect + untarnished,unblemished = impeccable + spotless,list14,3412
indemnify,v.赔偿,"to make compensation to for incurred hurt, loss, or damage",indemnify = compensate + harm/loss,indemnify = reimburse + damages,list14,3413
weighty,adj.重要的，严肃的,of much importance or consequence,weighty = heavy + substantial,weighty = mass + significant weight,list14,3414
distend,v.(使)膨胀,expand,distend = swell + internal pressure,distend = expand + inflate,list14,3415
fertile,adj.富饶的，肥沃的,producing a large amount of something,fertile = productive + soil,fertile = rich + growth,list14,3416
epoch,n.时代，纪元,a memorable event or date,epoch = era + significant events,epoch = period + historical importance,list14,3417
capricious,adj.变化无常的,changing often and quickly,capricious = unpredictable + changeable,capricious = whimsical + inconsistent,list14,3418
gravitate,v.被吸引,to be drawn or attracted especially by natural inclination,gravitate = move toward + attract,gravitate = drawn + incline,list14,3419
match,v.和…一致,to cause correspond,match = align + fit together,match = contest + competition,list14,3420
gourmet,n.美食家,connoisseur; food,gourmet = food connoisseur + discerning palate,gourmet = culinary expert + high-quality taste,list14,3421
encapsulate,v.压缩,to enclose in or as if in a capsule,encapsulate = summarize + essential features,encapsulate = condense + core elements,list14,3422
profligate,adj./n.挥金如土的，挥霍的；n.败家子,1. recklessly wasteful; 2. people who spend money freely,profligate = extravagant + wasteful,profligate = lavish + reckless spending,list14,3423
cavalier,n.彬彬有礼的绅士；adj.傲慢的,1. a courtly gentleman; 2. having a feeling of superiority,cavalier = dismissive + unconcerned,cavalier = nonchalant + carefree,list14,3424
witty,adj.诙谐的，风趣的,marked by or full of clever humor or wit,witty = clever + humorous,witty = sharp + entertaining,list14,3425
ideologue,n.狂热支持某种理念的人,someone who very strongly supports and is guided by the ideology of a particular group,ideologue = dogmatic + adherent,ideologue = belief system + zealot,list14,3426
surplus,n.剩余,the amount that remains when sue or need is satisfied,surplus = excess + leftover,surplus = abundance + more than needed,list14,3427
cherish,v.珍爱；v.怀有,1. to feel or show great love for; 2. to remember or hold in a deeply felt way,cherish = value + love,cherish = protect + treasure,list14,3428
ubiquitous,adj.无所不在的，普通的,everywhere; often observed,ubiquitous = omnipresent + everywhere,ubiquitous = pervasive + universal,list14,3429
nimble,adj.敏捷的；adj.敏锐的,"1. able to move quickly, easily, and lightly; 2. able to learn and understand things quickly and easily",nimble = agile + quick,nimble = spry + dexterous,list14,3430
perverse,adj.堕落的，不正当的,turned away from what is right or good,perverse = contrary + stubborn,perverse = unreasonable + defiant,list14,3431
vacillation,n.犹豫不决的,inability to make a stand,vacillation = indecision + hesitation,vacillation = uncertainty + wavering,list14,3432
amplify,v.夸大；v.详细描述 ,1. to make larger or greater than normal; 2. to speak or write about in a more complete way,amplify = increase + loudness,amplify = boost + strengthen,list14,3433
balanced,adj.公正的；ad.沉着冷静的 ,"1. in a fair and reasonable way; 2. calm and thinks clearly, even in a difficult situation",balanced = equilibrium + even,balanced = fair + impartial,list14,3434
accord,n.一致；vi.相符合，相一致；vt.授予，给予,1. consistency; 2. in harmony; 3. grant or give,accord = agreement + treaty,accord = harmonize + align,list15,3435
